code,first_name,id,second_name,team_code,web_name
81880,Alex,248,Oxlade-Chamberlain,14,Chamberlain
92217,Roberto,249,Firmino,14,Firmino
97032,Virgil,250,van Dijk,14,van Dijk
110979,Sadio,251,Mané,14,Mané
116535,Alisson,252,Ramses Becker,14,Alisson
116643,Fabio Henrique,253,Tavares,14,Fabinho
118748,Mohamed,254,Salah,14,Salah
122798,Andrew,255,Robertson,14,Robertson
152760,Divock,256,Origi,14,Origi
153682,Harry,257,Wilson,14,Harry Wilson
169187,Trent,259,Alexander-Arnold,14,Alexander-Arnold
171287,Joseph,260,Gomez,14,Gomez
175592,Naby,261,Keita,14,Keita
206915,Curtis,263,Jones,14,Jones
215136,Neco,264,Williams,14,Neco Williams
444884,Harvey,265,Elliott,14,Elliott
194634,Diogo,468,Jota,39,Jota
61558,Thiago,531,Alcántara do Nascimento,14,Thiago
200720,Caoimhin,560,Kelleher,14,Kelleher
197464,Nathaniel,589,Phillips,14,Phillips
219937,Rhys,594,Williams,14,Rhys Williams
233489,Leighton,601,Clarkson,14,Clarkson
243343,Jake,607,Cain,14,Cain
438277,Ozan,652,Kabak,14,Kabak
152898,Ben,653,Davies,14,Davies
433019,Liam,677,Hughes,14,Hughes
490138,Jakub,678,Ojrzynski,14,Ojrzynski
182436,Ben,696,Woodburn,14,Woodburn
480818,Billy,697,Koumetio,14,Koumetio
27789,Fernando,266,Luiz Rosa,43,Fernandinho
33148,Claudio,267,Bravo,43,Bravo
37572,Sergio,268,Agüero,43,Agüero
57410,Nicolás,269,Otamendi,43,Otamendi
58621,Kyle,270,Walker,43,Walker
59859,Ilkay,271,Gündogan,43,Gündogan
61366,Kevin,272,De Bruyne,43,De Bruyne
97299,John,273,Stones,43,Stones
102826,Benjamin,274,Mendy,43,Mendy
103025,Riyad,275,Mahrez,43,Mahrez
103955,Raheem,276,Sterling,43,Sterling
121145,João Pedro Cavaco,277,Cancelo,43,Cancelo
121160,Ederson,278,Santana de Moraes,43,Ederson
126184,Nathan,279,Aké,43,Aké
146941,Aymeric,280,Laporte,43,Laporte
165809,Bernardo Mota,281,Veiga de Carvalho e Silva,43,Bernardo Silva
205651,Gabriel Fernando,282,de Jesus,43,Jesus
206325,Oleksandr,283,Zinchenko,43,Zinchenko
209244,Phil,284,Foden,43,Foden
220394,Tommy,285,Doyle,43,Doyle
220566,Rodrigo,286,Hernandez,43,Rodrigo
224444,Ferran,287,Torres,43,Torres
432656,Eric,288,Garcia,43,Garcia
449926,Adrián,537,Bernabé,43,Bernabé
164484,Zack,538,Steffen,43,Steffen
463034,Liam,539,Delap,43,Delap
244851,Cole,552,Palmer,43,Palmer
171314,Rúben Santos,556,Gato Alves Dias,43,Dias
432720,James,595,Trafford,43,Trafford
17601,Scott,608,Carson,43,Carson
219265,Felix,609,Nmecha,43,Nmecha
439510,Luke,622,Mbete,43,Mbete
245719,Taylor,623,Harwood-Bellis,43,Harwood-Bellis
219291,Claudio,659,Gomes,43,Gomes
42899,Sergio,289,Romero,1,Romero
43670,Juan,290,Mata,1,Mata
51940,David,291,de Gea,1,de Gea
55909,Chris,292,Smalling,1,Smalling
58498,Odion,293,Ighalo,1,Ighalo
58893,Marcos,294,Rojo,1,Rojo
62398,Nemanja,295,Matic,1,Matic
74208,Paul,296,Pogba,1,Pogba
76359,Phil,297,Jones,1,Jones
95658,Harry,298,Maguire,1,Maguire
101582,Frederico,299,Rodrigues de Paula Santos,1,Fred
106760,Luke,300,Shaw,1,Shaw
141746,Bruno Miguel,302,Borges Fernandes,1,Fernandes
148225,Anthony,303,Martial,1,Martial
156689,Andreas,304,Pereira,1,Pereira
172649,Dean,305,Henderson,1,Henderson
176297,Marcus,306,Rashford,1,Rashford
180804,Axel,307,Tuanzebe,1,Tuanzebe
184667,Victor,308,Lindelöf,1,Lindelöf
195851,Scott,309,McTominay,1,McTominay
197365,Eric,310,Bailly,1,Bailly
200617,Daniel,311,James,1,James
201084,Timothy,312,Fosu-Mensah,1,Fosu-Mensah
214590,Aaron,313,Wan-Bissaka,1,Wan-Bissaka
216051,José Diogo,314,Dalot Teixeira,1,Dalot
220688,Mason,315,Greenwood,1,Greenwood
222677,Tahith,316,Chong,1,Chong
232928,James,317,Garner,1,Garner
232937,Brandon,318,Williams,1,Williams
244856,Teden,319,Mengi,1,Mengi
180184,Donny,495,van de Beek,1,van de Beek
152590,Alex Nicolao,568,Telles,1,Telles
40720,Edinson,569,Cavani,1,Cavani
488404,Facundo,575,Pellistri,1,Pellistri
6744,Lee,604,Grant,1,Grant
493250,Amad,640,Diallo,1,Diallo
472464,Shola,673,Shoretire,1,Shoretire
250370,Nathan,686,Bishop,1,Bishop
449434,Anthony,702,Elanga,1,Elanga
465527,Hannibal,712,Mejbri,1,Mejbri
461566,William,713,Fish,1,Fish
200089,Joseph,20,Willock,3,Willock
40142,Andy,320,Carroll,4,Carroll
50232,Jonjo,321,Shelvey,4,Shelvey
56983,Matt,322,Ritchie,4,Ritchie
57145,Federico,323,Fernández,4,Fernández
58845,Ciaran,324,Clark,4,Clark
59735,Karl,325,Darlow,4,Darlow
67089,Martin,326,Dubravka,4,Dubravka
77359,Florian,327,Lejeune,4,Lejeune
101148,Jamaal,328,Lascelles,4,Lascelles
104547,Dwight,329,Gayle,4,Gayle
104953,Christian,330,Atsu,4,Atsu
106618,Paul,331,Dummett,4,Dummett
109528,Javier,332,Manquillo,4,Manquillo
111773,Emil,333,Krafth,4,Krafth
119471,Fabian,334,Schär,4,Schär
151119,DeAndre,335,Yedlin,4,Yedlin
153127,Isaac,336,Hayden,4,Hayden
155513,Rolando,337,Aarons,4,Aarons
170137,Allan,338,Saint-Maximin,4,Saint-Maximin
179018,Miguel,339,Almirón,4,Almirón
180974,Joelinton Cássio,340,Apolinário de Lira,4,Joelinton
196118,Yoshinori,341,Muto,4,Muto
232977,Kelland,342,Watts,4,Watts
180135,Sean,480,Longstaff,4,Sean Longstaff
83314,Jeff,485,Hendrick,4,Hendrick
223175,Matthew,487,Longstaff,4,Matty Longstaff
81441,Mark,488,Gillespie,4,Gillespie
114243,Jacob,497,Murphy,4,Murphy
75115,Callum,506,Wilson,4,Wilson
90105,Ryan,507,Fraser,4,Fraser
194799,Jamal,513,Lewis,4,Lewis
215379,Elliot,602,Anderson,4,Anderson
432927,Daniel,606,Langley,4,Langley
195473,Rhian,262,Brewster,14,Brewster
18867,Billy,343,Sharp,49,Sharp
27436,David,344,McGoldrick,49,McGoldrick
40386,Chris,345,Basham,49,Basham
47247,John,346,Fleck,49,Fleck
63426,Enda,347,Stevens,49,Stevens
74854,Simon,348,Moore,49,Moore
79934,Oliver,349,Norwood,49,Norwood
82143,Wes,350,Foderingham,49,Foderingham
82691,George,351,Baldock,49,Baldock
83427,Jack,352,Robinson,49,Jack Robinson
108416,John,353,Egan,49,Egan
146610,Jack,354,O'Connell,49,O'Connell
153723,John,355,Lundstram,49,Lundstram
167878,Ben,356,Osborn,49,Osborn
169432,Oliver,357,McBurnie,49,McBurnie
178304,Lys,359,Mousset,49,Mousset
207189,Sander,360,Berge,49,Berge
197937,Oliver,424,Burke,49,Burke
49083,Luke,477,Freeman,49,Freeman
225321,Aaron,483,Ramsdale,49,Ramsdale
199598,Ethan,509,Ampadu,49,Ampadu
226182,Jayden,510,Bogle,49,Bogle
155197,Max,511,Lowe,49,Lowe
7645,Phil,529,Jagielka,49,Jagielka
194126,Michael,580,Verrips,49,Verrips
109638,Kean,603,Bryan,49,Bryan
487836,Antwoine,618,Hackford,49,Hackford
478449,Kyron,646,Gordon,49,Gordon
440993,Iliman,656,Ndiaye,49,Ndiaye
481371,Zak,657,Brunt,49,Brunt
531076,Frankie,670,Maguire,49,Maguire
523700,Daniel,699,Jebbison,49,Jebbison
235640,Harry,704,Boyes,49,Boyes
471848,Femi,705,Seriki,49,Seriki
538207,William,711,Osula,49,Osula
20467,Theo,148,Walcott,11,Walcott
157882,Takumi,258,Minamino,14,Minamino
20452,Shane,361,Long,20,Long
40146,Ryan,362,Bertrand,20,Bertrand
58376,Alex,363,McCarthy,20,McCarthy
78056,Oriol,364,Romeu Vidal,20,Oriol Romeu
83283,Nathan,365,Redmond,20,Redmond
84939,Danny,366,Ings,20,Ings
88900,Jack,367,Stephens,20,Stephens
91047,Stuart,368,Armstrong,20,Armstrong
93100,Jannik,369,Vestergaard,20,Vestergaard
101178,James,370,Ward-Prowse,20,Ward-Prowse
107265,Angus,371,Gunn,20,Gunn
128198,Sofiane,372,Boufal,20,Boufal
153379,Josh,374,Sims,20,Sims
158534,Kyle,375,Walker-Peters,20,Walker-Peters
171771,Jan,376,Bednarek,20,Bednarek
200439,Che,377,Adams,20,Adams
213482,Yan,378,Valery,20,Valery
214466,William,379,Smallbone,20,Smallbone
214470,Jake,380,Vokins,20,Vokins
220598,Michael,381,Obafemi,20,Obafemi
431131,Moussa,382,Djenepo,20,Djenepo
450527,Mohammed,479,Salisu,20,Salisu
40383,Fraser,523,Forster,20,Forster
203389,Nathan,524,Tella,20,Tella
240143,Ibrahima,565,Diallo,20,Diallo
200088,Daniel,590,N'Lundulu,20,N'Lundulu
232797,Kayne,598,Ramsay,20,Ramsay
445896,Kgaogelo,624,Chauke,20,Chauke
198044,Harry,625,Lewis,20,Lewis
422306,Will,634,Ferry,20,Ferry
447093,Allan,635,Tchaptchet,20,Tchaptchet
456966,Caleb,636,Watts,20,Watts
449781,Alexandre,643,Jankewitz,20,Jankewitz
447372,Ryan,655,Finnigan,20,Finnigan
37915,Hugo,383,Lloris,6,Lloris
38290,Danny,384,Rose,6,Rose
45268,Moussa,385,Sissoko,6,Sissoko
55605,Toby,386,Alderweireld,6,Alderweireld
62974,Erik,387,Lamela,6,Lamela
78830,Harry,388,Kane,6,Kane
80226,Serge,389,Aurier,6,Aurier
85971,Heung-Min,390,Son,6,Son
93264,Eric,391,Dier,6,Dier
95715,Lucas,392,Rodrigues Moura da Silva,6,Lucas Moura
102884,Paulo,393,Gazzaniga,6,Gazzaniga
108823,Bamidele,394,Alli,6,Alli
115556,Ben,395,Davies,6,Davies
132015,Pierre-Emile,396,Højbjerg,6,Højbjerg
157668,Harry,397,Winks,6,Winks
173904,Davinson,398,Sánchez,6,Sánchez
184349,Ryan,399,Sessegnon,6,Sessegnon
194252,Steven,400,Bergwijn,6,Bergwijn
195774,Gedson,401,Carvalho Fernandes,6,Fernandes
199584,Japhet,402,Tanganga,6,Tanganga
200826,Giovani,403,Lo Celso,6,Lo Celso
209042,Oliver,404,Skipp,6,Skipp
231372,Tanguy,405,Ndombele,6,Ndombele
234908,Juan,406,Foyth,6,Foyth
87835,Matt,457,Doherty,6,Doherty
15749,Joe,482,Hart,6,Hart
168763,Cameron,521,Carter-Vickers,6,Carter-Vickers
199249,Sergio,542,Reguilón,6,Reguilón
36903,Gareth,543,Bale,6,Bale
245824,Carlos Vinicius,564,Alves Morais,6,Carlos Vinicius
214225,Joe,584,Rodon,6,Rodon
496179,Alfie,650,Devine,6,Devine
490145,Dane,666,Scarlett,6,Scarlett
461212,Nile,710,John,6,John
154043,Ainsley,15,Maitland-Niles,3,Maitland-Niles
50093,David,56,Button,35,Button
171975,Callum,358,Robinson,35,Callum Robinson
42427,Kieran,407,Gibbs,35,Gibbs
49440,Hal,408,Robson-Kanu,35,Robson-Kanu
49944,Jake,409,Livermore,35,Livermore
49957,Kamil,410,Grosicki,35,Grosicki
50229,Matt,411,Phillips,35,Phillips
59940,Kyle,412,Bartley,35,Bartley
61600,Romaine,413,Sawyers,35,Sawyers
77777,Ahmed El-Sayed,414,Hegazy,35,Hegazi
78356,Charlie,415,Austin,35,Austin
82078,Kenneth,416,Zohore,35,Zohore
101982,Sam,417,Johnstone,35,Johnstone
108053,Conor,418,Townsend,35,Townsend
146426,Oluwasemilogo Adesewo Ibidapo,419,Ajayi,35,Ajayi
173809,Jonathan,420,Leko,35,Leko
174593,Kyle,421,Edwards,35,Edwards
176420,Darnell,422,Furlong,35,Furlong
195864,Sam,423,Field,35,Field
216616,Dara,425,O'Shea,35,O'Shea
232427,Rekeem,426,Harper,35,Harper
18987,Robert,428,Snodgrass,21,Snodgrass
179830,Grady,446,Diangana,35,Diangana
210407,Matheus,481,Pereira,35,Pereira
183015,Cedric,499,Kipre,35,Kipre
41135,Branislav,530,Ivanovic,35,Ivanovic
232787,Conor,544,Gallagher,35,Gallagher
200878,Filip,555,Krovinovic,35,Krovinovic
180294,Karlan,582,Grant,35,Grant
38716,Lee,600,Peltier,35,Peltier
505265,Cheikh,621,Diaby,35,Diaby
11948,Andy,639,Lonergan,35,Lonergan
164011,Mbaye,648,Diagne,35,Diagne
101394,Okay,654,Yokuslu,35,Yokuslu
470255,Caleb,700,Taylor,35,Taylor
439242,Taylor,701,Gardner-Hickman,35,Gardner-Hickman
444575,Toby,706,King,35,King
490094,Tim,709,Iroegbunam,35,Iroegbunam
109322,Jesse,301,Lingard,1,Lingard
18073,Mark,427,Noble,21,Noble
19194,David,429,Martin,21,Martin
32259,Darren,430,Randolph,21,Randolph
37096,Lukasz,431,Fabianski,21,Fabianski
40669,Angelo,432,Ogbonna,21,Ogbonna
40694,Roberto,433,Jimenez Gago,21,Roberto
54102,Jack,434,Wilshere,21,Wilshere
55459,Aaron,435,Cresswell,21,Cresswell
56377,Andriy,436,Yarmolenko,21,Yarmolenko
57531,Michail,437,Antonio,21,Antonio
81012,Ryan,438,Fredericks,21,Fredericks
86934,Manuel,439,Lanzini,21,Lanzini
101537,Felipe Anderson,440,Pereira Gomes,21,Felipe Anderson
103123,Sébastien,441,Haller,21,Haller
105717,Arthur,442,Masuaku,21,Masuaku
166640,Fabián,443,Balbuena,21,Balbuena
167522,Jordan,444,Hugill,21,Hugill
178186,Jarrod,445,Bowen,21,Bowen
181008,Albian,447,Ajeti,21,Ajeti
204480,Declan,448,Rice,21,Rice
215439,Tomas,449,Soucek,21,Soucek
217593,Pablo,450,Fornals,21,Fornals
219924,Issa,451,Diop,21,Diop
222018,Ben,452,Johnson,21,Johnson
164555,Vladimir,558,Coufal,21,Coufal
60232,Craig,576,Dawson,21,Dawson
172841,Saïd,587,Benrahma,21,Benrahma
486870,Frederik,637,Alves,21,Alves
461533,Ademipo,638,Odubeko,21,Odubeko
222017,Conor,668,Coventry,21,Coventry
462384,Jamal,669,Baptiste,21,Baptiste
232398,Nathan,674,Trott,21,Trott
19236,John,453,Ruddy,39,Ruddy
19624,João Filipe Iria,454,Santos Moutinho,39,Moutinho
38533,Rui Pedro,455,dos Santos Patrício,39,Patrício
41727,Ryan,456,Bennett,39,Bennett
90585,Willy,458,Boly,39,Boly
94147,Conor,459,Coady,39,Coady
102057,Raúl,460,Jiménez,39,Jiménez
107613,Romain,461,Saïss,39,Saïss
114128,Jonathan,462,Castro Otto,39,Jonny
141569,Léo,463,Bonatini,39,Bonatini
151589,Leander,464,Dendoncker,39,Dendoncker
159533,Adama,465,Traoré,39,Traoré
171317,Rúben Diogo,466,da Silva Neves,39,Neves
179456,Oskar,467,Buur,39,Buur
200600,Daniel,469,Castelo Podence,39,Podence
214048,Max,470,Kilman,39,Kilman
216054,Rúben Gonçalo,471,Silva Nascimento Vinagre,39,Vinagre
216208,Matija,472,Sarkic,39,Sarkic
222531,Morgan,473,Gibbs-White,39,Gibbs-White
247632,Pedro,474,Lomba Neto,39,Neto
428610,Bruno André,475,Cavaco Jordao,39,Jordao
474003,Leonardo,476,Campana,39,Campana
449988,Fabio,504,Silva,39,Fabio Silva
111291,Fernando,505,Marçal,39,Marçal
437858,Vitor,515,Ferreira,39,Vitinha
441271,Ki-Jana,545,Hoever,39,Hoever
200402,Nélson,546,Cabral Semedo,39,Semedo
225368,Meritan,553,Shabani,39,Shabani
448514,Rayan,563,Ait Nouri,39,Ait Nouri
250604,Owen,581,Otasowie,39,Otasowie
443296,Theo,610,Corbeanu,39,Corbeanu
232361,Taylor,611,Perry,39,Perry
245923,Luke,614,Cundle,39,Cundle
437688,Lewis,615,Richards,39,Richards
481626,Christian,616,Marques,39,Marques
448487,Andreas,617,Söndergaard,39,Söndergaard
209353,Patrick,626,Cutrone,39,Cutrone
465551,Nigel,629,Lonwijk,39,Lonwijk
73314,Willian José,642,Da Silva,39,Willian José
490721,Hugo,649,Bueno,39,Bueno
